Course	Room	Teacher	Time	Days	Students
126	12	95	(0, 2)	TTHF	177 279 324 353 377 384 449 469 516 559 602 613 628 651 657 731 818 847 874
128	28	101	(8, 11)	MW	78 80 83 144 182 183 192 197 204 205 235 256 273 289 358 369 415 594 654
129	30	82	(0, 2)	MWF	154 259 292 376 398 409 428 450 455 519 541 554 558 598 611 795
130	48	102	(12, 17)	W	83 281 386 416 649 651 726 874
131	2	93	(2, 4)	MWF	359 503 550 633 685 694 725 757 810
132	48	103	(14, 17)	T	85 238 259 287 290 323 519 546 554 589
135	120	106	(0, 1)	M	88 253 303 434 552 649
136	44	107	(0, 3)	M	91 126 179 240 302 389 499 536
137	122	45	(6, 11)	M	93 110 217 254
138	8	41	(0, 5)	T	94 543 611 612
139	3	63	(17, 18)	TTHF	94 101 198 224 322 440 619 643 689 691 741 813 900 1058
140	25	73	(8, 10)	MWF	95 113 154 179 376 430 438 477 488 671 709 812 849 870 1109
141	13	71	(0, 2)	MW	95
142	22	72	(7, 8)	MWF	124 355 365 507 529 622 637 688 759 805 814 853 884 910 919 935 937 1033 1054
143	15	108	(5, 6)	MWF	96 423 510 512 529 550 633 671 691 694 737 751 762 775 799 800 814 824 838 852 856 873 880 899 913 928 930 932 933 948 969 982 986 996 999 1006 1013 1020 1027 1029 1036 1039 1055 1070 1097 1101
144	22	110	(18, 19)	MWF	97 672 727 906 924 934 942 952 953 992 1025
145	59	99	(6, 9)	M	98 165 310 342 556
147	4	7	(16, 18)	MWF	99 160 164 206 295 316 354 385 414 572 579
149	96	107	(4, 9)	M	104 536 955
150	3	97	(17, 19)	MW	106 145 241 321 368 413 418 472 485
151	3	111	(5, 7)	MW	107 339 406 457 483 574 700 766 859 861 875 876 881 908 915 917 924 940 953 960 963 978 991 992 1002 1065 1093 1095
152	3	60	(8, 10)	MWF	107 364 410 419 478 503 539 580 581 582 596 597 607 615 616 624 628 640 660 667 676 692 695 696 700 702 704 705
153	33	113	(2, 4)	TTHF	111 433 488 647 700 860
154	53	85	(6, 7)	MWF	111
155	22	114	(16, 17)	MWF	111 147 208 545 557 778 792 861 881 905 984 991
156	33	115	(6, 11)	T	113 197 232 240 243 467 513
157	26	77	(5, 6)	MWF	114 148 166 174 201 208 221 260 292 367 402 409 422 453 504
158	53	1	(14, 15)	MWF	118 129 246 291
159	53	5	(3, 5)	MWF	
160	26	116	(0, 1)	MWF	121 169 189 309 337 396 403 432 436 443 491 571 667 866
161	10	117	(4, 5)	MWF	121 131 154 169 189 309 329 333 337 349 396 403 432 436 443 450 491
162	3	119	(5, 7)	TTHF	125 470 472 485 589 672
163	6	113	(16, 18)	MWF	125 175 212 233 640 645 742 882 988
164	3	53	(11, 12)	MWF	128 145 175 477 698 823 918 976 1056 1101
165	22	115	(11, 12)	MWF	130 146 227 370 640 642 686 694 699 715 824 909 911 932 947 1016 1017 1021 1062 1064 1079 1083 1113
166	8	51	(6, 8)	MWF	132 337 425 446 646 706 745 761
167	3	120	(0, 1)	MWF	132 478 595 648 664 696 732 739 837 899 900 957 984 1019 1031
168	33	121	(15, 17)	MWF	149 190 324 384 387 459 464 522 539 541 551 570 632 695
169	11	122	(17, 19)	MWF	139 373 759 824 842
170	45	49	(10, 15)	TH	382 493 506 525 528 538 602 632 646 756 779 787 845
171	31	123	(6, 9)	M	140 265 431 1099
172	43	124	(0, 1)	M	142 155 210 278 291 344 390
173	53	125	(0, 5)	T	
175	39	126	(8, 11)	M	151 190 249 434 958 1044
176	53	15	(11, 13)	MWF	152 251 255 319 558
177	117	128	(2, 4)	MWF	155 210 278 429 448
179	4	70	(0, 2)	TTHF	163 308 375 401 551 695 697 1056 1065
180	59	130	(2, 3)	MWF	168 218 486 548 553
181	5	123	(0, 2)	MW	338 431 497 570 710 830 1054 1055
182	21	22	(17, 19)	MWF	179 407 430 565 701 886
183	6	30	(0, 1)	MW	181 220 247 248 336 350 369 378 388 415 456 498 507 531 551 620 631 641 743 755 868 929
184	4	84	(7, 12)	M	185 207 417 571 585 591 598 625 751
185	13	49	(3, 8)	M	186
186	13	58	(9, 11)	MW	186 446
188	26	131	(3, 4)	MWF	199 208 259 262 312 393 398 422 428 453 504 519 544 554 611
189	12	112	(18, 19)	MWF	412 444 475 558 698 725
190	22	132	(9, 10)	TTHF	206 308 481 678 826 839 931 960 967 978 980 999 1038 1105
191	118	30	(18, 19)	MWF	207
